INDICADORES BÁSICOS DE TENENCIA Y USO DE TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN - TIC EN HOGARES Y PERSONAS DE 5 Y MÁS AÑOS DE EDAD 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet
TOTAL NACIONAL,CENTROS POBLADOS Y RURAL DISPERSO,MUJER,3.295,39,"0,6%",1.151,34,"1,5%","34,9",874,28,"1,6%","26,5",2.636,35,"0,7%","80,0",114,10,"4,5%","3,5",231,16,"3,5%","7,0",967,28,"1,5%","29,3",98,9,"4,9%","3,0",559,24,"2,2%","17,0",357,19,"2,7%","10,8",1.122,32,"1,5%","34,0","88,1","7,8","4,5%","2,7","128,5","11,5","4,6%","3,9","52,4","6,5","6,3%","1,6","53,7","6,6","6,2%","1,6","1327,5","32,9","1,3%","40,3","90,9","10,6","5,9%","2,8","271,8","17,6","3,3%","8,2","3,8","1,7","22,8%","0,1"
CALDAS,TOTAL,TOTAL,763,19,"1,2%",301,24,"4,0%","39,5",364,26,"3,6%","47,7",628,18,"1,5%","82,4",94,17,"9,2%","12,3",146,20,"6,9%","19,1",203,19,"4,8%","26,7",74,15,"10,7%","9,7",150,16,"5,6%","19,6",169,19,"5,8%","22,2",355,23,"3,3%","46,6","42,9","8,2","9,8%","5,6","88,9","16,3","9,3%","11,7","31,7","6,6","10,6%","4,2","53,2","10,0","9,6%","7,0","377,6","25,8","3,5%","49,5","34,5","8,4","12,5%","4,5","38,7","8,8","11,6%","5,1","0,3","0,5","71,2%","0,0"
CALDAS,TOTAL,HOMBRE,359,10,"1,4%",149,13,"4,5%","41,5",176,15,"4,2%","49,0",294,10,"1,8%","81,8",47,9,"10,0%","13,2",74,12,"8,0%","20,5",99,11,"5,6%","27,5",40,10,"12,7%","11,1",81,10,"6,1%","22,6",83,11,"6,9%","23,1",166,14,"4,2%","46,2","20,8","4,6","11,3%","5,8","46,1","9,7","10,8%","12,9","16,3","4,8","15,1%","4,5","29,5","6,8","11,7%","8,2","173,5","13,1","3,9%","48,4","18,8","5,8","15,8%","5,2","19,5","5,8","15,3%","5,4","0,2","0,3","99,1%","0,0"
CALDAS,TOTAL,MUJER,404,11,"1,4%",152,13,"4,4%","37,7",188,14,"3,8%","46,6",335,11,"1,7%","82,9",47,9,"9,9%","11,5",72,10,"7,0%","17,9",105,11,"5,5%","25,9",34,7,"11,2%","8,4",69,9,"7,1%","17,0",86,11,"6,3%","21,4",189,13,"3,5%","46,9","22,0","5,6","12,9%","5,5","42,8","8,4","10,1%","10,6","15,4","3,8","12,6%","3,8","23,7","5,0","10,7%","5,9","204,0","15,0","3,7%","50,5","15,6","4,4","14,5%","3,9","19,2","4,7","12,5%","4,8","0,2","0,3","100,0%","0,0"
CALDAS,CABECERA,TOTAL,631,17,"1,4%",271,23,"4,4%","42,9",324,26,"4,0%","51,2",523,18,"1,7%","82,8",89,17,"9,7%","14,2",139,20,"7,2%","22,0",174,19,"5,5%","27,5",72,15,"11,0%","11,3",132,16,"6,2%","20,9",149,19,"6,4%","23,6",315,23,"3,7%","49,8","38,6","8,1","10,7%","6,1","84,2","16,2","9,8%","13,3","30,6","6,6","10,9%","4,8","51,6","10,0","9,9%","8,2","324,5","25,0","3,9%","51,4","31,0","8,3","13,7%","4,9","34,8","8,7","12,7%","5,5","0,3","0,5","71,2%","0,1"
CALDAS,CABECERA,HOMBRE,293,9,"1,5%",134,13,"4,8%","45,8",155,14,"4,7%","53,0",240,9,"2,0%","82,1",45,9,"10,5%","15,4",70,12,"8,4%","23,9",85,10,"6,3%","28,9",39,10,"13,1%","13,2",72,9,"6,7%","24,6",73,11,"7,6%","25,0",146,13,"4,6%","49,8","18,6","4,5","12,4%","6,4","43,2","9,6","11,4%","14,8","15,8","4,8","15,5%","5,4","28,5","6,7","12,1%","9,7","147,5","12,4","4,3%","50,4","16,8","5,7","17,4%","5,7","17,1","5,7","17,0%","5,9","0,2","0,3","99,1%","0,1"
CALDAS,CABECERA,MUJER,339,11,"1,6%",137,13,"4,8%","40,4",168,14,"4,2%","49,7",283,11,"2,0%","83,4",44,9,"10,4%","13,1",69,10,"7,3%","20,5",89,11,"6,3%","26,3",33,7,"11,5%","9,7",60,9,"7,9%","17,7",76,10,"7,0%","22,3",169,13,"3,8%","49,8","20,0","5,5","14,0%","5,9","41,0","8,4","10,4%","12,1","14,8","3,8","13,1%","4,4","23,1","5,0","11,0%","6,8","177,0","14,7","4,2%","52,3","14,2","4,4","15,8%","4,2","17,7","4,7","13,5%","5,2","0,2","0,3","100,0%","0,1"
CALDAS,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,131,8,"3,1%",31,6,"10,4%","23,3",40,5,"6,3%","30,8",105,8,"3,7%","80,4",5,2,"21,7%","3,6",7,3,"19,4%","5,0",30,5,"8,2%","22,5",2,1,"21,9%","1,6",18,4,"12,4%","13,6",20,4,"10,5%","15,4",40,6,"7,0%","30,9","4,3","1,7","20,6%","3,2","4,7","2,0","22,0%","3,6","1,0","0,6","30,8%","0,8","1,6","0,7","22,8%","1,3","53,0","6,9","6,6%","40,5","3,5","1,8","26,5%","2,7","3,9","1,9","25,2%","2,9",-,-,.,-
CALDAS,CENTROS POBLADOS Y RURAL DISPERSO,HOMBRE,66,5,"3,8%",15,4,"13,7%","22,5",21,3,"8,6%","31,5",53,5,"4,6%","80,7",2,1,"26,8%","3,4",4,2,"21,9%","5,6",14,3,"11,4%","21,4",1,1,"31,5%","1,9",9,2,"13,6%","13,6",10,3,"13,3%","14,5",20,4,"9,1%","30,1","2,2","1,0","24,1%","3,3","2,9","1,5","26,7%","4,4","0,4","0,4","44,3%","0,7","1,0","0,7","33,4%","1,6","26,0","4,4","8,6%","39,4","2,1","1,2","30,3%","3,1","2,3","1,3","27,7%","3,6",-,-,.,-
CALDAS,CENTROS POBLADOS Y RURAL DISPERSO,MUJER,65,4,"3,2%",16,3,"9,6%","24,1",20,2,"6,4%","30,2",52,4,"3,9%","80,2",2,1,"23,5%","3,7",3,1,"24,5%","4,4",15,3,"8,9%","23,7",1,1,"31,5%","1,3",9,2,"13,8%","13,6",11,2,"11,6%","16,3",21,3,"7,1%","31,7","2,1","1,1","26,7%","3,2","1,7","1,0","28,8%","2,7","0,6","0,4","30,7%","0,9","0,6","0,3","26,8%","0,9","27,0","3,2","6,1%","41,5","1,5","0,8","28,2%","2,2","1,5","0,8","26,8%","2,3",-,-,.,-
QUINDÍO,TOTAL,TOTAL,445,13,"1,5%",245,14,"2,8%","55,1",196,15,"3,8%","44,1",385,14,"1,8%","86,6",72,11,"7,8%","16,2",107,13,"6,2%","24,1",129,13,"5,0%","29,1",43,9,"10,5%","9,6",90,13,"7,5%","20,2",111,13,"6,1%","24,9",200,16,"4,1%","44,9","30,3","5,3","8,9%","6,8","54,3","10,0","9,4%","12,2","27,6","5,4","10,0%","6,2","56,1","7,8","7,1%","12,6","261,1","15,8","3,1%","58,7","35,3","8,7","12,6%","7,9","90,1","13,3","7,6%","20,2","0,8","0,7","46,7%","0,2"
QUINDÍO,TOTAL,HOMBRE,211,7,"1,6%",119,7,"3,1%","56,3",96,8,"4,3%","45,7",182,7,"1,9%","86,2",35,6,"8,9%","16,3",52,7,"6,5%","24,6",59,6,"5,4%","27,9",20,4,"11,0%","9,6",47,7,"7,4%","22,4",53,7,"6,7%","25,3",98,9,"4,4%","46,6","15,4","3,3","11,0%","7,3","26,2","5,0","9,7%","12,4","13,2","3,0","11,8%","6,2","26,6","4,1","7,9%","12,6","123,6","8,0","3,3%","58,5","16,8","4,4","13,3%","7,9","43,3","6,9","8,1%","20,5","0,2","0,4","82,3%","0,1"
QUINDÍO,TOTAL,MUJER,234,8,"1,8%",126,8,"3,2%","54,0",100,8,"4,2%","42,6",203,8,"2,1%","87,0",38,6,"8,2%","16,1",55,8,"7,0%","23,6",71,8,"6,0%","30,2",22,5,"11,9%","9,5",42,7,"8,7%","18,2",57,8,"6,7%","24,5",101,9,"4,7%","43,4","14,9","2,8","9,4%","6,4","28,1","5,9","10,8%","12,0","14,5","3,6","12,7%","6,2","29,5","4,8","8,4%","12,6","137,5","9,2","3,4%","58,9","18,5","5,1","14,0%","7,9","46,8","7,8","8,5%","20,0","0,5","0,6","57,7%","0,2"
QUINDÍO,CABECERA,TOTAL,397,13,"1,6%",223,14,"3,1%","56,2",179,15,"4,2%","45,0",345,13,"2,0%","86,8",68,11,"8,2%","17,1",99,13,"6,8%","24,8",117,13,"5,5%","29,3",39,9,"11,4%","9,8",80,13,"8,3%","20,2",99,13,"6,8%","24,9",172,16,"4,8%","43,2","27,9","5,2","9,5%","7,0","50,0","10,0","10,2%","12,6","25,3","5,4","10,9%","6,4","53,0","7,8","7,5%","13,3","230,3","15,7","3,5%","57,9","32,0","8,7","13,9%","8,0","82,2","13,4","8,3%","20,7","0,7","0,7","48,2%","0,2"
QUINDÍO,CABECERA,HOMBRE,186,7,"1,8%",108,7,"3,5%","57,8",87,8,"4,7%","46,9",161,7,"2,2%","86,5",32,6,"9,4%","17,3",47,7,"7,1%","25,4",53,6,"5,9%","28,4",19,4,"12,0%","10,0",42,7,"8,3%","22,5",47,7,"7,5%","25,3",84,8,"5,2%","45,0","14,2","3,3","11,9%","7,6","23,9","5,0","10,6%","12,8","11,9","3,0","12,9%","6,4","24,8","4,1","8,4%","13,3","107,9","8,0","3,8%","57,8","15,2","4,4","14,7%","8,1","39,4","6,9","8,9%","21,1","0,2","0,4","92,5%","0,1"
QUINDÍO,CABECERA,MUJER,211,8,"2,0%",116,8,"3,5%","54,8",91,8,"4,6%","43,3",184,8,"2,3%","87,1",36,6,"8,6%","16,9",51,8,"7,5%","24,3",64,8,"6,6%","30,2",20,5,"13,0%","9,6",38,7,"9,5%","18,2",52,7,"7,4%","24,5",88,9,"5,3%","41,7","13,7","2,7","10,2%","6,5","26,2","5,9","11,6%","12,4","13,4","3,6","13,6%","6,4","28,2","4,8","8,7%","13,4","122,4","9,2","3,8%","58,0","16,8","5,1","15,4%","8,0","42,8","7,8","9,3%","20,3","0,5","0,6","57,7%","0,3"
QUINDÍO,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,47,2,"1,8%",22,2,"4,9%","46,0",17,2,"5,7%","36,4",40,2,"1,9%","84,9",4,1,"12,0%","8,7",8,1,"8,3%","17,7",13,2,"6,6%","27,0",4,1,"12,8%","7,7",10,2,"9,1%","20,1",12,2,"7,8%","24,7",28,2,"3,5%","59,1","2,4","0,8","16,4%","5,0","4,3","1,0","11,4%","9,0","2,3","0,6","13,4%","4,8","3,1","0,8","12,5%","6,6","30,8","2,2","3,7%","65,0","3,3","1,3","19,6%","6,9","7,9","1,7","11,3%","16,7","0,0","0,1","99,3%","0,1"
QUINDÍO,CENTROS POBLADOS Y RURAL DISPERSO,HOMBRE,25,1,"2,0%",11,1,"5,5%","44,9",9,1,"5,9%","36,3",21,1,"2,3%","84,3",2,1,"12,5%","8,8",5,1,"9,2%","18,2",6,1,"8,8%","24,0",2,0,"14,4%","7,0",5,1,"9,6%","21,8",6,1,"8,7%","24,8",15,1,"3,7%","58,9","1,2","0,4","17,1%","4,6","2,3","0,6","13,0%","9,2","1,2","0,4","16,1%","5,0","1,8","0,5","14,6%","7,1","15,8","1,3","4,1%","63,5","1,6","0,7","21,0%","6,6","3,9","1,0","12,7%","15,7","0,0","0,1","99,3%","0,1"
QUINDÍO,CENTROS POBLADOS Y RURAL DISPERSO,MUJER,23,1,"2,0%",11,1,"5,0%","47,3",8,1,"6,7%","36,6",19,1,"2,2%","85,5",2,1,"14,9%","8,6",4,1,"9,2%","17,1",7,1,"6,7%","30,3",2,1,"13,9%","8,5",4,1,"10,7%","18,3",6,1,"8,4%","24,6",13,1,"4,4%","59,2","1,2","0,5","18,8%","5,4","2,0","0,5","13,0%","8,8","1,1","0,3","15,7%","4,7","1,4","0,4","14,0%","6,1","15,0","1,2","4,1%","66,6","1,6","0,7","21,1%","7,3","4,0","0,9","11,8%","17,7",-,-,.,-
RISARALDA,TOTAL,TOTAL,736,20,"1,4%",308,28,"4,6%","41,8",341,26,"3,9%","46,4",637,20,"1,6%","86,5",111,16,"7,3%","15,1",126,20,"8,2%","17,1",150,19,"6,4%","20,4",52,11,"10,9%","7,1",158,26,"8,3%","21,5",120,20,"8,7%","16,3",282,33,"6,0%","38,3","30,3","6,4","10,8%","4,1","53,9","12,5","11,8%","7,3","27,0","7,5","14,1%","3,7","44,2","8,9","10,3%","6,0","283,6","31,0","5,6%","38,5","27,7","6,1","11,2%","3,8","85,1","17,1","10,2%","11,6","0,2","0,3","99,9%","0,0"
RISARALDA,TOTAL,HOMBRE,345,11,"1,6%",147,15,"5,2%","42,6",168,14,"4,2%","48,6",297,12,"2,0%","86,1",56,9,"8,0%","16,2",62,12,"10,1%","17,9",70,10,"7,4%","20,2",27,7,"12,9%","7,9",83,14,"8,4%","24,1",54,11,"10,2%","15,7",131,16,"6,3%","37,9","12,6","3,7","14,8%","3,6","23,9","6,8","14,5%","6,9","13,4","4,3","16,6%","3,9","23,6","5,7","12,3%","6,8","129,1","15,6","6,2%","37,5","13,9","4,2","15,3%","4,0","35,6","8,0","11,4%","10,3","0,2","0,3","99,9%","0,0"
RISARALDA,TOTAL,MUJER,391,12,"1,6%",161,15,"4,8%","41,0",174,15,"4,4%","44,4",340,13,"1,9%","86,9",56,10,"8,9%","14,2",64,11,"8,6%","16,3",80,13,"8,2%","20,6",25,6,"12,8%","6,3",75,15,"10,0%","19,2",66,12,"9,0%","16,9",151,19,"6,4%","38,6","17,7","4,8","13,8%","4,5","30,0","6,9","11,7%","7,7","13,6","4,4","16,6%","3,5","20,6","5,5","13,5%","5,3","154,5","17,5","5,8%","39,5","13,8","3,7","13,6%","3,5","49,5","11,0","11,4%","12,6",-,-,.,-
RISARALDA,CABECERA,TOTAL,628,19,"1,5%",270,28,"5,2%","43,0",306,26,"4,4%","48,7",541,20,"1,9%","86,2",104,16,"7,8%","16,6",117,20,"8,8%","18,7",124,19,"7,7%","19,7",47,11,"12,0%","7,5",143,26,"9,1%","22,8",111,20,"9,4%","17,7",243,33,"6,9%","38,7","26,2","6,3","12,3%","4,2","48,0","12,4","13,2%","7,6","23,3","7,4","16,2%","3,7","39,2","8,8","11,5%","6,3","248,2","30,9","6,4%","39,5","21,5","5,7","13,6%","3,4","78,1","17,0","11,1%","12,4","0,2","0,3","99,9%","0,0"
