DEPARTAMENTO,ÁREA,SEXO,Total personas de 5 y más años que usaron Internet,,,,Dispositivos para acceder a Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,En el hogar,,,,,En el trabajo,,,,,En la institucion educativa,,,,,En centro de acceso público gratis,,,,,En centro de acceso público con costo (café internet),,,,,En la vivienda de otra persona,,,,,En desplazamiento de un sitio a otro,,,,,En otro sitio,,,
ANTIOQUIA,TOTAL,TOTAL,5.350,95,"0,9%",,5.202,108,"1,1%","97,2",,1.880,100,"2,7%","35,1",,"859,6","74,8","0,0","16,1",,463,61,"6,7%","8,7",,246,40,"8,3%","4,6",,646,74,"5,9%","12,1",,514,74,"7,3%","9,6",,2,2,"69,7%","0,0"
,,HOMBRE,2.561,65,"1,3%",,2.481,73,"1,5%","96,9",,1.123,64,"2,9%","43,8",,"437,2","43,2","0,1","17,1",,231,38,"8,3%","9,0",,129,25,"10,0%","5,0",,297,42,"7,2%","11,6",,281,44,"7,9%","11,0",,1,1,"80,3%","0,0"
,,MUJER,2.789,49,"0,9%",,2.721,53,"1,0%","97,6",,757,60,"4,0%","27,1",,"422,5","49,2","0,1","15,1",,232,38,"8,3%","8,3",,117,24,"10,3%","4,2",,349,45,"6,6%","12,5",,233,38,"8,3%","8,4",,1,1,"70,5%","0,0"
,CABECERA,TOTAL,4.489,92,"1,0%",,4.386,104,"1,2%","97,7",,1.678,100,"3,0%","37,4",,"713,0","73,1","0,1","15,9",,348,58,"8,6%","7,7",,205,39,"9,8%","4,6",,499,74,"7,5%","11,1",,357,73,"10,4%","8,0",,0,0,.,-
,,HOMBRE,2.123,64,"1,5%",,2.067,71,"1,8%","97,4",,975,63,"3,3%","45,9",,"360,5","42,0","0,1","17,0",,172,36,"10,8%","8,1",,107,25,"11,9%","5,0",,223,41,"9,5%","10,5",,188,43,"11,6%","8,8",,0,0,.,-
,,MUJER,2.366,47,"1,0%",,2.319,50,"1,1%","98,0",,704,60,"4,3%","29,8",,"352,5","48,2","0,1","14,9",,176,37,"10,6%","7,4",,98,23,"12,1%","4,1",,276,45,"8,2%","11,7",,169,37,"11,3%","7,2",,0,0,.,-
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,862,27,"1,6%",,816,31,"1,9%","94,7",,202,16,"4,0%","23,4",,"146,7","15,9","0,1","17,0",,115,17,"7,6%","13,4",,41,11,"13,9%","4,8",,147,17,"6,0%","17,0",,157,18,"5,7%","18,2",,2,2,"69,7%","0,2"
,,HOMBRE,438,17,"1,9%",,414,18,"2,2%","94,4",,148,12,"4,0%","33,8",,"76,7","10,7","0,1","17,5",,60,11,"9,6%","13,6",,22,6,"15,0%","5,0",,74,11,"7,8%","16,9",,93,12,"6,5%","21,3",,1,1,"80,3%","0,2"
,,MUJER,423,15,"1,8%",,402,17,"2,1%","95,0",,53,8,"7,3%","12,6",,"70,0","9,4","0,1","16,5",,56,9,"7,9%","13,2",,19,7,"18,1%","4,5",,73,10,"6,9%","17,2",,64,10,"7,8%","15,1",,1,1,"70,5%","0,2"
ARAUCA,TOTAL,TOTAL,186,6,"1,7%",,171,7,"2,1%","92,1",,60,4,"3,6%","32,2",,"37,4","4,0","0,1","20,1",,15,3,"10,6%","8,1",,10,2,"12,7%","5,3",,29,4,"6,7%","15,3",,38,4,"5,0%","20,5",,1,1,"57,9%","0,4"
,,HOMBRE,90,3,"2,0%",,83,4,"2,4%","92,8",,36,3,"3,8%","40,0",,"19,1","2,6","0,1","21,3",,8,2,"12,8%","8,5",,5,2,"15,3%","5,7",,15,2,"7,7%","16,6",,20,2,"5,4%","22,3",,0,0,"66,8%","0,4"
,,MUJER,96,4,"1,9%",,88,4,"2,2%","91,5",,24,3,"5,4%","24,8",,"18,3","2,1","0,1","19,0",,7,2,"11,1%","7,8",,5,1,"13,1%","5,0",,14,2,"7,6%","14,1",,18,2,"6,4%","18,8",,0,0,"56,1%","0,4"
,CABECERA,TOTAL,145,5,"1,8%",,136,6,"2,3%","94,0",,51,4,"4,0%","35,0",,"30,1","3,7","0,1","20,9",,11,3,"12,6%","7,5",,8,2,"14,3%","5,8",,26,4,"7,3%","17,8",,35,4,"5,5%","23,9",,0,0,"81,8%","0,1"
,,HOMBRE,70,3,"2,2%",,66,4,"2,7%","94,5",,29,2,"4,2%","42,2",,"15,5","2,4","0,1","22,2",,6,2,"15,4%","8,0",,5,1,"16,2%","6,7",,14,2,"8,2%","19,9",,18,2,"5,7%","26,2",,0,0,"97,3%","0,1"
,,MUJER,75,3,"1,9%",,70,3,"2,3%","93,6",,21,2,"5,9%","28,3",,"14,7","2,0","0,1","19,6",,5,1,"13,5%","7,1",,4,1,"15,3%","4,9",,12,2,"8,4%","15,9",,16,2,"7,0%","21,7",,0,0,"99,6%","0,0"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,42,4,"5,4%",,35,5,"6,6%","85,4",,9,2,"9,9%","22,3",,"7,3","1,4","0,1","17,6",,4,2,"19,3%","10,2",,2,1,"25,7%","3,8",,3,1,"15,6%","6,7",,4,1,"12,0%","8,9",,1,1,"67,4%","1,4"
,,HOMBRE,20,2,"5,8%",,17,2,"7,2%","86,8",,7,1,"10,9%","32,5",,"3,7","0,9","0,1","18,3",,2,1,"22,8%","10,1",,0,0,"36,8%","2,0",,1,0,"21,3%","5,3",,2,1,"16,0%","8,8",,0,0,"85,7%","1,1"
,,MUJER,21,2,"5,9%",,18,2,"7,0%","84,1",,3,1,"13,7%","12,8",,"3,6","0,9","0,1","16,9",,2,1,"19,8%","10,2",,1,1,"25,0%","5,5",,2,1,"17,6%","8,1",,2,1,"14,0%","8,9",,0,0,"59,0%","1,7"
ATLÁNTICO,TOTAL,TOTAL,2.144,49,"1,2%",,2.020,62,"1,6%","94,2",,692,40,"2,9%","32,3",,"321,7","26,4","0,0","15,0",,82,20,"12,2%","3,8",,37,10,"13,7%","1,7",,197,31,"8,0%","9,2",,399,51,"6,6%","18,6",,9,6,"33,0%","0,4"
,,HOMBRE,1.042,29,"1,4%",,965,36,"1,9%","92,7",,408,24,"3,0%","39,2",,"158,9","16,5","0,1","15,3",,42,13,"15,7%","4,0",,21,7,"16,7%","2,0",,98,19,"9,6%","9,5",,211,27,"6,5%","20,2",,6,5,"38,2%","0,6"
,,MUJER,1.103,30,"1,4%",,1.055,35,"1,7%","95,7",,284,25,"4,5%","25,7",,"162,9","18,5","0,1","14,8",,41,11,"13,3%","3,7",,16,6,"17,6%","1,4",,99,17,"9,0%","9,0",,188,30,"8,1%","17,1",,3,3,"51,9%","0,2"
,CABECERA,TOTAL,2.055,49,"1,2%",,1.941,62,"1,6%","94,4",,675,40,"3,0%","32,8",,"308,6","26,3","0,0","15,0",,78,20,"13,0%","3,8",,36,10,"14,1%","1,8",,188,31,"8,5%","9,2",,394,51,"6,6%","19,2",,9,6,"33,2%","0,4"
,,HOMBRE,996,29,"1,5%",,925,37,"2,0%","92,9",,396,24,"3,1%","39,7",,"152,4","16,5","0,1","15,3",,39,13,"16,6%","4,0",,21,7,"17,0%","2,1",,94,19,"10,2%","9,4",,208,27,"6,6%","20,9",,6,5,"38,7%","0,6"
,,MUJER,1.059,30,"1,5%",,1.016,35,"1,8%","95,9",,279,25,"4,5%","26,3",,"156,3","18,5","0,1","14,8",,38,11,"14,1%","3,6",,15,6,"18,3%","1,5",,95,18,"9,5%","8,9",,186,30,"8,2%","17,5",,3,3,"51,9%","0,2"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,90,3,"1,9%",,80,4,"2,3%","88,8",,17,2,"5,8%","19,3",,"13,1","1,6","0,1","14,6",,5,1,"14,4%","5,2",,1,0,"24,1%","1,1",,9,2,"9,9%","10,2",,5,1,"11,7%","5,9",,0,0,"71,0%","0,1"
,,HOMBRE,46,2,"2,1%",,40,2,"2,8%","87,2",,13,2,"6,0%","27,8",,"6,5","1,2","0,1","14,0",,2,1,"17,6%","5,1",,0,0,"35,4%","0,8",,5,1,"12,2%","10,2",,3,1,"12,0%","5,9",,0,0,"71,0%","0,2"
,,MUJER,43,2,"2,2%",,39,2,"2,6%","90,4",,4,1,"11,7%","10,3",,"6,6","0,9","0,1","15,2",,2,1,"15,2%","5,2",,1,0,"31,8%","1,4",,4,1,"11,8%","10,1",,3,1,"16,0%","6,0",,0,0,.,-
BOGOTÁ D.C.,TOTAL,TOTAL,6.508,187,"1,5%",,6.217,220,"1,8%","95,5",,2.654,165,"3,2%","40,8",,"1105,6","109,3","0,1","17,0",,108,38,"18,0%","1,7",,164,51,"15,9%","2,5",,965,166,"8,8%","14,8",,1.941,252,"6,6%","29,8",,21,19,"46,4%","0,3"
,,HOMBRE,3.124,99,"1,6%",,2.961,123,"2,1%","94,8",,1.438,94,"3,3%","46,0",,"564,4","67,9","0,1","18,1",,51,20,"20,5%","1,6",,80,28,"17,7%","2,6",,458,85,"9,4%","14,6",,973,131,"6,9%","31,1",,10,12,"60,2%","0,3"
,,MUJER,3.384,101,"1,5%",,3.256,114,"1,8%","96,2",,1.216,90,"3,8%","35,9",,"541,2","62,2","0,1","16,0",,57,24,"21,6%","1,7",,84,32,"19,2%","2,5",,507,93,"9,4%","15,0",,968,135,"7,1%","28,6",,10,9,"43,4%","0,3"
,CABECERA,TOTAL,6.485,187,"1,5%",,6.195,220,"1,8%","95,5",,2.646,165,"3,2%","40,8",,"1101,2","109,3","0,1","17,0",,107,38,"18,2%","1,6",,163,51,"16,0%","2,5",,964,166,"8,8%","14,9",,1.937,252,"6,6%","29,9",,21,19,"46,5%","0,3"
,,HOMBRE,3.112,99,"1,6%",,2.950,123,"2,1%","94,8",,1.433,94,"3,4%","46,0",,"562,1","67,9","0,1","18,1",,50,20,"20,7%","1,6",,80,28,"17,8%","2,6",,457,85,"9,4%","14,7",,970,131,"6,9%","31,2",,10,12,"60,4%","0,3"
,,MUJER,3.373,101,"1,5%",,3.245,114,"1,8%","96,2",,1.213,90,"3,8%","36,0",,"539,1","62,2","0,1","16,0",,57,24,"21,8%","1,7",,83,32,"19,3%","2,5",,507,93,"9,4%","15,0",,967,135,"7,1%","28,7",,10,9,"43,5%","0,3"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,23,1,"1,6%",,22,1,"2,1%","95,5",,8,1,"4,4%","32,9",,"4,4","0,5","0,1","19,3",,1,1,"23,3%","5,5",,1,0,"17,9%","3,9",,1,0,"13,5%","5,6",,4,1,"8,8%","18,6",,0,0,"49,7%","0,1"
,,HOMBRE,12,0,"1,8%",,11,0,"2,1%","95,8",,5,0,"4,2%","40,6",,"2,3","0,3","0,1","20,1",,1,0,"23,4%","5,8",,1,0,"19,0%","4,4",,1,0,"15,2%","6,1",,2,0,"9,2%","21,4",,0,0,"57,4%","0,2"
,,MUJER,11,0,"1,9%",,11,1,"2,5%","95,2",,3,0,"6,8%","25,1",,"2,1","0,3","0,1","18,5",,1,0,"25,1%","5,3",,0,0,"22,7%","3,3",,1,0,"15,5%","5,0",,2,0,"9,9%","15,6",,0,0,"97,6%","0,1"
BOLÍVAR,TOTAL,TOTAL,1.443,39,"1,4%",,1.333,49,"1,9%","92,4",,371,24,"3,3%","25,7",,"230,3","22,5","0,0","16,0",,71,14,"10,2%","4,9",,73,14,"9,7%","5,1",,196,22,"5,8%","13,6",,233,43,"9,5%","16,2",,3,3,"44,7%","0,2"
,,HOMBRE,694,23,"1,7%",,637,26,"2,1%","91,9",,238,16,"3,4%","34,3",,"111,6","14,2","0,1","16,1",,39,9,"12,2%","5,7",,38,9,"11,5%","5,5",,94,12,"6,6%","13,5",,123,23,"9,4%","17,7",,1,1,"52,4%","0,2"
,,MUJER,750,22,"1,5%",,696,27,"2,0%","92,8",,133,14,"5,5%","17,8",,"118,8","13,0","0,1","15,8",,32,7,"11,5%","4,2",,35,8,"11,1%","4,7",,103,15,"7,6%","13,7",,111,22,"10,3%","14,8",,2,2,"51,8%","0,3"
,CABECERA,TOTAL,1.148,37,"1,6%",,1.062,46,"2,2%","92,5",,311,23,"3,7%","27,1",,"180,7","21,6","0,1","15,7",,59,14,"12,0%","5,1",,62,14,"11,3%","5,4",,155,22,"7,4%","13,5",,196,43,"11,2%","17,0",,3,3,"44,7%","0,3"
,,HOMBRE,548,21,"2,0%",,505,24,"2,5%","92,1",,193,15,"3,9%","35,2",,"86,4","13,6","0,1","15,8",,32,9,"14,3%","5,9",,32,8,"13,1%","5,9",,72,12,"8,1%","13,2",,103,22,"11,1%","18,8",,1,1,"52,4%","0,2"
,,MUJER,600,20,"1,7%",,557,26,"2,3%","92,8",,118,14,"6,0%","19,6",,"94,3","12,4","0,1","15,7",,26,7,"13,4%","4,4",,30,8,"12,9%","5,0",,83,15,"9,4%","13,8",,93,22,"12,3%","15,4",,2,2,"51,8%","0,3"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,295,15,"2,7%",,272,15,"2,8%","92,1",,61,7,"6,1%","20,5",,"49,6","7,3","0,1","16,8",,12,3,"14,3%","4,1",,11,3,"15,5%","3,8",,41,8,"10,0%","14,0",,38,7,"10,1%","12,8",,0,0,.,-
,,HOMBRE,146,9,"3,2%",,133,9,"3,4%","91,0",,45,6,"6,4%","30,9",,"25,1","4,3","0,1","17,3",,7,3,"19,6%","4,7",,6,2,"19,7%","3,9",,21,5,"12,1%","14,5",,20,5,"12,0%","13,6",,0,0,.,-
,,MUJER,149,8,"2,8%",,139,8,"3,0%","93,1",,15,4,"12,1%","10,4",,"24,5","4,4","0,1","16,4",,5,2,"15,9%","3,5",,6,2,"18,5%","3,7",,20,4,"11,0%","13,5",,18,4,"11,4%","12,1",,0,0,.,-
BOYACÁ,TOTAL,TOTAL,811,22,"1,4%",,773,23,"1,5%","95,3",,278,20,"3,7%","34,3",,"190,0","13,5","0,0","23,4",,34,7,"10,4%","4,2",,25,6,"11,9%","3,1",,56,11,"9,7%","6,9",,57,9,"7,8%","7,0",,1,1,"44,7%","0,1"
,,HOMBRE,399,14,"1,8%",,379,14,"1,9%","95,0",,161,12,"3,8%","40,4",,"95,9","9,3","0,0","24,0",,15,4,"12,3%","3,7",,12,4,"15,9%","3,1",,29,7,"12,6%","7,3",,30,6,"9,6%","7,5",,1,1,"52,7%","0,2"
,,MUJER,412,12,"1,4%",,394,13,"1,6%","95,6",,117,11,"4,8%","28,4",,"94,1","8,0","0,0","22,8",,20,5,"12,3%","4,7",,13,4,"13,9%","3,1",,27,6,"10,7%","6,5",,27,5,"10,4%","6,4",,0,0,"69,4%","0,0"
,CABECERA,TOTAL,563,19,"1,7%",,540,20,"1,9%","96,0",,210,19,"4,5%","37,4",,"131,1","10,9","0,0","23,3",,29,7,"12,1%","5,1",,18,5,"13,9%","3,2",,48,10,"11,2%","8,5",,35,7,"10,4%","6,2",,1,1,"49,8%","0,1"
,,HOMBRE,270,11,"2,1%",,258,11,"2,2%","95,6",,112,11,"4,8%","41,5",,"65,0","7,8","0,1","24,1",,11,3,"14,8%","4,3",,8,3,"19,2%","3,1",,26,7,"13,9%","9,5",,18,5,"13,1%","6,7",,1,1,"61,0%","0,2"
,,MUJER,293,10,"1,7%",,282,11,"2,0%","96,3",,98,11,"5,5%","33,6",,"66,1","6,6","0,1","22,6",,17,5,"13,6%","5,9",,10,3,"16,8%","3,3",,22,5,"12,6%","7,5",,17,4,"13,0%","5,8",,0,0,"69,4%","0,1"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,249,13,"2,7%",,233,13,"2,8%","93,8",,68,7,"5,5%","27,5",,"58,9","8,1","0,1","23,7",,6,2,"14,0%","2,2",,7,3,"23,5%","2,9",,8,3,"15,6%","3,3",,22,5,"12,0%","8,7",,0,0,"100,0%","0,1"
,,HOMBRE,129,8,"3,3%",,120,8,"3,3%","93,6",,49,6,"6,2%","38,2",,"30,9","5,1","0,1","24,0",,3,1,"20,6%","2,5",,4,2,"28,8%","3,1",,3,2,"27,7%","2,7",,12,3,"14,0%","9,3",,0,0,"100,0%","0,1"
,,MUJER,120,7,"2,8%",,113,7,"3,1%","94,0",,19,4,"9,8%","15,9",,"28,0","4,5","0,1","23,4",,2,1,"22,7%","2,0",,3,2,"24,2%","2,7",,5,2,"18,6%","4,0",,10,3,"17,6%","8,0",,0,0,.,-
CALDAS,TOTAL,TOTAL,763,19,"1,2%",,742,21,"1,5%","97,3",,254,16,"3,2%","33,3",,"132,2","9,9","0,0","17,3",,32,6,"9,8%","4,3",,14,4,"14,9%","1,8",,54,10,"9,6%","7,0",,87,15,"8,8%","11,4",,0,0,"80,5%","0,0"
,,HOMBRE,359,10,"1,4%",,349,11,"1,7%","97,4",,142,10,"3,7%","39,6",,"68,5","6,7","0,1","19,1",,20,5,"12,0%","5,5",,8,3,"19,5%","2,1",,25,6,"12,1%","7,0",,46,8,"9,3%","12,7",,0,0,.,-
,,MUJER,404,11,"1,4%",,392,12,"1,6%","97,2",,112,9,"4,1%","27,7",,"63,7","6,8","0,1","15,8",,13,4,"14,8%","3,2",,6,2,"18,5%","1,6",,28,6,"10,8%","7,0",,41,8,"10,2%","10,3",,0,0,"80,5%","0,0"
,CABECERA,TOTAL,631,17,"1,4%",,617,20,"1,7%","97,7",,224,16,"3,6%","35,5",,"107,5","9,0","0,0","17,0",,30,6,"10,5%","4,7",,12,4,"17,7%","1,8",,46,10,"10,9%","7,2",,77,15,"9,7%","12,1",,0,0,.,-
,,HOMBRE,293,9,"1,5%",,286,10,"1,9%","97,7",,121,10,"4,2%","41,2",,"57,0","6,3","0,1","19,5",,18,5,"12,7%","6,2",,6,3,"23,3%","2,1",,21,6,"13,8%","7,3",,40,8,"10,3%","13,6",,0,0,.,-
,,MUJER,339,11,"1,6%",,331,12,"1,8%","97,8",,104,9,"4,3%","30,7",,"50,5","6,3","0,1","14,9",,12,4,"15,9%","3,4",,5,2,"21,7%","1,6",,24,6,"12,2%","7,1",,37,8,"11,3%","10,8",,0,0,.,-
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,131,8,"3,1%",,124,9,"3,7%","94,9",,30,5,"8,2%","22,6",,"24,7","4,1","0,1","18,8",,3,1,"23,2%","2,0",,3,1,"25,4%","1,9",,8,3,"19,7%","6,0",,11,4,"20,7%","8,1",,0,0,"80,5%","0,0"
,,HOMBRE,66,5,"3,8%",,63,6,"4,5%","96,0",,22,4,"9,0%","32,8",,"11,5","2,4","0,1","17,4",,1,1,"32,3%","2,1",,2,1,"33,0%","2,3",,4,2,"22,1%","5,6",,6,2,"21,7%","8,8",,0,0,.,-
,,MUJER,65,4,"3,2%",,61,5,"3,8%","93,9",,8,2,"12,5%","12,2",,"13,2","2,7","0,1","20,3",,1,1,"32,4%","1,8",,1,1,"27,8%","1,6",,4,2,"20,7%","6,4",,5,2,"23,5%","7,3",,0,0,"80,5%","0,1"
CAQUETÁ,TOTAL,TOTAL,279,10,"1,8%",,247,11,"2,2%","88,7",,73,6,"4,4%","26,3",,"40,0","4,1","0,1","14,3",,4,2,"32,7%","1,3",,2,1,"24,5%","0,7",,16,3,"10,1%","5,8",,31,6,"9,6%","10,9",,0,0,"100,0%","0,0"
,,HOMBRE,139,5,"2,0%",,124,6,"2,5%","88,7",,49,5,"4,7%","35,1",,"20,5","3,1","0,1","14,7",,2,2,"39,2%","1,6",,1,1,"36,2%","0,5",,8,2,"12,7%","6,0",,18,3,"9,7%","12,7",,0,0,"100,0%","0,1"
,,MUJER,140,6,"2,1%",,124,6,"2,6%","88,6",,24,3,"6,2%","17,5",,"19,5","2,8","0,1","14,0",,2,1,"31,6%","1,1",,1,1,"33,0%","0,8",,8,2,"11,8%","5,6",,13,3,"11,9%","9,2",,0,0,.,-
,CABECERA,TOTAL,193,8,"2,2%",,164,9,"2,9%","85,0",,56,6,"5,2%","29,0",,"31,4","3,7","0,1","16,3",,2,2,"35,4%","1,3",,1,1,"29,5%","0,7",,13,3,"11,8%","6,8",,24,5,"10,6%","12,5",,0,0,.,-
,,HOMBRE,93,5,"2,5%",,79,5,"3,4%","84,4",,35,4,"5,5%","37,2",,"16,2","2,9","0,1","17,4",,1,1,"39,3%","1,3",,1,0,"43,7%","0,6",,6,2,"14,8%","6,9",,13,3,"10,7%","14,2",,0,0,.,-
,,MUJER,100,5,"2,5%",,85,6,"3,3%","85,6",,21,3,"6,8%","21,4",,"15,2","2,3","0,1","15,3",,1,1,"38,2%","1,2",,1,1,"39,8%","0,9",,7,2,"13,6%","6,6",,11,3,"13,2%","10,9",,0,0,.,-
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,86,5,"2,9%",,83,5,"3,2%","96,8",,17,3,"9,3%","20,3",,"8,6","1,9","0,1","10,0",,1,2,"67,3%","1,5",,0,0,"45,0%","0,6",,3,1,"24,5%","3,5",,6,3,"21,7%","7,5",,0,0,"100,0%","0,1"
,,HOMBRE,46,3,"3,1%",,45,3,"3,3%","97,4",,14,3,"10,3%","30,9",,"4,3","1,3","0,2","9,4",,1,1,"75,4%","2,0",,0,0,"65,8%","0,4",,2,1,"28,7%","4,0",,4,2,"21,6%","9,6",,0,0,"100,0%","0,2"
,,MUJER,40,3,"3,6%",,38,3,"3,9%","96,1",,3,1,"14,9%","7,9",,"4,3","1,4","0,2","10,8",,0,0,"50,4%","0,9",,0,0,"57,6%","0,8",,1,1,"22,7%","2,9",,2,1,"26,6%","5,1",,0,0,.,-
